SITE;Date_prelevement;Kovacs;Gluc;H2S;Lact.;Gaz;CITR.;Especes;MP2;Pi;AM;GEM;TE;CI;CRO
MAZAMBA;15/07/2021;0;1;0;1;1;1;Levinea;23;;18;15;15;21;26
MAZAMBA;15/07/2021;1;1;1;1;1;1;Dwarsielle tarda ;23;;18;15;15;21;26
MAZAMBA;15/07/2021;;;;;;;;;;;;;;
MAMA YEMO;15/07/2021;0;1;1;1;0;1;Proteus mirabilis;26;17;5;14;9;22;7
MAMA YEMO;15/07/2021;1;1;1;1;1;0;Dwarsielle tarda ;5;5;8;7;10;14;18
MAMA YEMO;15/07/2021;0;1;0;1;0;0;Salmonella paratyphi;5;11;5;13;5;14;31
MAMA YEMO;15/07/2021;1;1;0;1;1;0;Proteus morgani ;;5;5;13;12;11;11
KIMBONDO;20/07/2021;1;1;0;1;1;1_0;Klebsiella oxytoca;5;5;;17;5;5;6
KIMBONDO;20/07/2021;0;1;0;0;1;0;Klebsiella pneuminae;5;5;;6;11;22;6
KIMBONDO;20/07/2021;1;1;1;0;1;0;Salmonella typhi;5;5;;5;6;18;12
PLATEAU;17/07/2021;0;1;1;1;1;1;Salmonella sp;29;5;5;5;12;5;23
PLATEAU;17/07/2021;1;1;0;0;0;0;Escherichia alcancensa-dispar;29;5;5;14;13;21;6
PLATEAU;17/07/2021;0;1;0;1;0;1;Salmonella gallinarum pullorum/Proteus mirabilis;5;5;5;14;11;15;5
PLATEAU;17/07/2021;1;1;0;0;0;0;Escherichia alcancensa-dispar;31;5;5;13;5;17;23
PLATEAU;17/07/2021;0;1;1;1;0;1;Proteus mirabilis;19;5;5;6;5;21;5
PLATEAU;17/07/2021;1;1;0;0;0;0;Escherichia coli (Proteus morgani);27;5;5;9;5;26;8
PLATEAU;17/07/2021;0;1;0;1;1;1;Levinea;29;5;7;13;5;11;5
PLATEAU;17/07/2021;0;1;0;1;1;0;Salmonella paratyphi;24;5;5;15;5;21;5
PLATEAU;17/07/2021;0;1;1;1;1;0;Salmonella typhi;;5;5;18;8;22;28
PLATEAU;17/07/2021;0;1;0;1;1;0;Salmonella paratyphi;23;5;5;13;5;22;5
PLATEAU;17/07/2021;0;1;1;1;1;0;Salmonella typhi;24;5;5;5;5;24;5
PLATEAU;17/07/2021;1;1;1;1;1;1;Dwarsielle tarda;23;5;5;5;5;22;5
